Gambar Produk;Link Produk;Nama Produk;Nama Toko;Harga;Omset Total;Penjualan Total;Omset 30 Hari;Penjualan 30 Hari;Rating
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134201-7rbkc-m6mgjdfr2lwh47_tn.webp;https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-lipat-folding-bike-elite-version-48v-104ah-xt600-i.653744438.29177287841;EGROW Lankeleisi Sepeda Listrik Lipat Folding Bike Elite Version 48V 10.4Ah - XT600;Egrow Tech;Rp 9.702.778;Rp 0;0;Rp 0;0;0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224o-mhhd2xsntla93e_tn.webp;https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-lipat-folding-bike-elite-version-48v-104ah-xt600-i.653744438.28727291507;EGROW Lankeleisi Sepeda Listrik Lipat Folding Bike Elite Version 48V 10.4Ah - XT600;Egrow Tech;Rp 9.702.778;Rp 0;0;Rp 0;0;0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbkc-mb1y8hbrqme163_tn.webp;https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-gunung-mtb-36v-104ah-rs600-blackgray-i.653744438.43304641666;EGROW Lankeleisi Sepeda Listrik Gunung MTB 36V 10.4Ah - RS600 - Black/Gray;Egrow Tech;Rp 8.559.778;Rp 8.559.778;1;Rp 8.559.778;1;0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk4-m9uz0sooktff05_tn.webp;https://shopee.co.id/lankeleisi-sepeda-listrik-gunung-mtb-36v-104ah-rs600-i.415310649.41401178366;Lankeleisi Sepeda Listrik Gunung MTB 36V 10.4Ah - RS600;Ada 88 Store;Rp 8.792.800;Rp 0;0;Rp 0;0;0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ras9-m2jtwj35rqo317_tn.webp;https://shopee.co.id/sepeda-listrik-e-fat-bike-1000w-26-inch-45kmhr-i.172961384.29717498331;Sepeda Listrik e Fat Bike 1000W 26 Inch 45Km/hr;JKshops111;Rp 11.500.000;Rp 23.000.000;2;Rp 11.500.000;1;500
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0n-mcvzl5peorlk90_tn.webp;https://shopee.co.id/scooter-electric-hezzo-f9-dual-drive-100-km-i.29119417.29463595448;Scooter Electric Hezzo F9 Dual Drive 100 KM;Thirteen MX Store;Rp 29.700.000;Rp 0;0;Rp 0;0;0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134201-7rbk2-m6mgjls8uvje94_tn.webp;https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-fat-bike-tire-26x4-inch-48v-20ah-rv800-plus-i.653744438.29177287836;EGROW Lankeleisi Sepeda Listrik Fat Bike Tire 26x4 Inch 48V 20Ah - RV800 Plus;Egrow Tech;Rp 22.989.778;Rp 68.969.334;3;Rp 22.989.778;1;500
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zti-me5dybvt57use4_tn.webp;https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-lipat-folding-bike-smart-deluxe-48v-104ah-g650-i.653744438.28727291353;EGROW Lankeleisi Sepeda Listrik Lipat Folding Bike Smart Deluxe 48V 10.4Ah - G650;Egrow Tech;Rp 10.673.608;Rp 74.715.256;7;Rp 10.673.608;1;500
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224w-mglrf0xrmp7330_tn.webp;https://shopee.co.id/egrow-lankeleisi-kommoda-sepeda-listrik-fat-bike-tire-20x4-inch-48v-14ah-panda-orange-i.653744438.28727291338;EGROW Lankeleisi Kommoda Sepeda Listrik Fat Bike Tire 20x4 Inch 48V 14Ah - PANDA - Orange;Egrow Tech;Rp 17.699.778;Rp 0;0;Rp 0;0;0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lzzmj5onbe0d61_tn.webp;https://shopee.co.id/sepeda-listrik-antelope-promo-gratis-ongkir-i.1354368757.27710784478;Sepeda Listrik Antelope PROMO Gratis Ongkir;SOBAT EBIKE KAMU;Rp 3.255.000;Rp 39.060.000;12;Rp 3.255.000;1;460
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224p-mj7tn59shou8f4_tn.webp;https://shopee.co.id/u-winfly-m100-gen-3-motor-listrik-i.102598934.27475033296;U-Winfly M100  GEN 3 (Motor Listrik);U WINFLY Official Store;Rp 17.499.000;Rp 3.412.305.000;195;Rp 244.986.000;14;462
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-7ra2f-m4u1ipbsfur8c1_tn.webp;https://shopee.co.id/lankeleisi-sepeda-listrik-lipat-folding-bike-luxury-edition-48v-104ah-g660-tinari-i.1425874321.26973175543;Lankeleisi Sepeda Listrik Lipat Folding Bike Luxury Edition 48V 10.4Ah - G660 - Tinari;Tinari Zone;Rp 12.942.900;Rp 0;0;Rp 0;0;0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134201-7rbke-m6mgjqbe84kq75_tn.webp;https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-lipat-mtb-folding-bike-20-inch-48v-15ah-x3000-plus-i.653744438.26827296071;EGROW Lankeleisi Sepeda Listrik Lipat MTB Folding Bike 20 Inch 48V 15Ah - X3000 Plus;Egrow Tech;Rp 13.299.778;Rp 26.599.556;2;Rp 13.299.778;1;500
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134201-7rbk9-m6mgjqfu1mp605_tn.webp;https://shopee.co.id/egrow-xiaomi-himo-sepeda-listrik-lipat-fat-bike-tire-20x4-inch-48v-10ah-zb20-i.653744438.26827296063;EGROW Xiaomi HIMO Sepeda Listrik Lipat Fat Bike Tire 20x4 Inch 48V 10Ah - ZB20;Egrow Tech;Rp 14.949.778;Rp 44.849.334;3;Rp 14.949.778;1;500
